"Date","County","Pollutant","Measurement","AQI"
2011-03-12,"Alameda","PM2.5",8.4,47
2011-03-13,"Alameda","PM2.5",6.1,34
2011-03-14,"Alameda","PM2.5",5.1,28
2011-03-15,"Alameda","PM2.5",6.4,36
2011-03-16,"Alameda","PM2.5",9.4,52
2011-03-17,"Alameda","PM2.5",9.7,52
2011-03-18,"Alameda","PM2.5",8.2,46
2011-03-19,"Alameda","PM2.5",4.5,25
2011-03-20,"Alameda","PM2.5",4.5,25
2011-03-21,"Alameda","PM2.5",6.1,34
2011-03-22,"Alameda","PM2.5",7.8,43
2011-03-23,"Alameda","PM2.5",4.8,27
2011-03-24,"Alameda","PM2.5",6.7,37
2011-03-25,"Alameda","PM2.5",7.7,43
2011-03-26,"Alameda","PM2.5",5.5,31
2011-03-27,"Alameda","PM2.5",6.7,37
2011-03-28,"Alameda","PM2.5",6,33
2011-03-29,"Alameda","PM2.5",8.8,49
2011-03-30,"Alameda","PM2.5",10.1,53
2011-03-31,"Alameda","PM2.5",7.5,42
2011-04-01,"Alameda","PM2.5",10.6,54
2011-04-02,"Alameda","PM2.5",13.1,58
2011-04-03,"Alameda","PM2.5",6.5,36
2011-04-04,"Alameda","PM2.5",8,44
2011-04-05,"Alameda","PM2.5",11,55
2011-04-06,"Alameda","PM2.5",11,55
2011-04-07,"Alameda","PM2.5",7.1,39
2011-04-08,"Alameda","PM2.5",6.3,35
2011-04-09,"Alameda","PM2.5",9.6,52
2011-04-10,"Alameda","PM2.5",9.5,52
2011-04-11,"Alameda","PM2.5",9,50
2011-04-12,"Alameda","PM2.5",8.9,49
2011-04-13,"Alameda","PM2.5",7.4,41
2011-04-14,"Alameda","PM2.5",9.8,52
2011-04-15,"Alameda","PM2.5",10.8,54
2011-04-16,"Alameda","PM2.5",7.5,42
2011-04-17,"Alameda","PM2.5",3.4,19
2011-04-18,"Alameda","PM2.5",4.5,25
2011-04-19,"Alameda","PM2.5",5.1,28
2011-04-20,"Alameda","PM2.5",6.1,34
2011-04-21,"Alameda","PM2.5",6.7,37
2011-04-22,"Alameda","PM2.5",9.4,52
2011-04-23,"Alameda","PM2.5",7.7,43
2011-04-24,"Alameda","PM2.5",4.5,25
2011-04-25,"Alameda","PM2.5",9.2,51
2011-04-26,"Alameda","PM2.5",10.3,53
2011-04-27,"Alameda","PM2.5",9.6,52
2011-04-28,"Alameda","PM2.5",8,44
2011-04-29,"Alameda","PM2.5",6.5,36
2011-04-30,"Alameda","PM2.5",6.4,36
2011-05-01,"Alameda","PM2.5",8.1,45
2011-05-02,"Alameda","PM2.5",9.6,52
2011-05-03,"Alameda","PM2.5",12,56
2011-05-04,"Alameda","PM2.5",10.1,53
2011-05-05,"Alameda","PM2.5",14.8,62
2011-05-06,"Alameda","PM2.5",10,53
2011-05-07,"Alameda","PM2.5",7.6,42
2011-05-08,"Alameda","PM2.5",4.5,25
2011-05-09,"Alameda","PM2.5",6.9,38
2011-05-10,"Alameda","PM2.5",10,53
2011-05-11,"Alameda","PM2.5",7,39
2011-05-12,"Alameda","PM2.5",6.8,38
2011-05-13,"Alameda","PM2.5",9.9,52
2011-05-14,"Alameda","PM2.5",8.5,47
2011-05-15,"Alameda","PM2.5",3.2,18
2011-05-16,"Alameda","PM2.5",4.6,26
2011-05-17,"Alameda","PM2.5",2.9,16
2011-05-18,"Alameda","PM2.5",5.1,28
2011-05-19,"Alameda","PM2.5",12.5,57
2011-05-20,"Alameda","PM2.5",12.7,58
2011-05-21,"Alameda","PM2.5",9.7,52
2011-05-22,"Alameda","PM2.5",9.1,51
2011-05-23,"Alameda","PM2.5",9.2,51
2011-05-24,"Alameda","PM2.5",8.3,46
2011-05-25,"Alameda","PM2.5",6.6,37
2011-05-26,"Alameda","PM2.5",6,33
2011-05-27,"Alameda","PM2.5",8.5,47
2011-05-28,"Alameda","PM2.5",7,39
2011-05-29,"Alameda","PM2.5",7.3,41
2011-05-30,"Alameda","PM2.5",6,33
2011-05-31,"Alameda","PM2.5",4.9,27
2011-06-01,"Alameda","PM2.5",3.7,21
2011-06-02,"Alameda","PM2.5",4,22
2011-06-03,"Alameda","PM2.5",5.8,32
2011-06-04,"Alameda","PM2.5",3.7,21
2011-06-05,"Alameda","PM2.5",5.6,31
2011-06-06,"Alameda","PM2.5",6,33
2011-06-07,"Alameda","PM2.5",9.5,52
2011-06-08,"Alameda","PM2.5",12.2,57
2011-06-09,"Alameda","PM2.5",10.9,54
2011-06-10,"Alameda","PM2.5",9.6,52
2011-06-11,"Alameda","PM2.5",5.7,32
2011-06-12,"Alameda","PM2.5",5.2,29
2011-06-13,"Alameda","PM2.5",4.8,27
2011-06-14,"Alameda","PM2.5",10.1,53
2011-06-15,"Alameda","PM2.5",16.7,65
2011-06-16,"Alameda","PM2.5",14.5,61
2011-06-17,"Alameda","PM2.5",11.5,55
2011-06-18,"Alameda","PM2.5",9.5,52
2011-06-19,"Alameda","PM2.5",8.2,46
2011-06-20,"Alameda","PM2.5",10,53
2011-06-21,"Alameda","PM2.5",10.4,53
2011-06-22,"Alameda","PM2.5",7.1,39
2011-06-23,"Alameda","PM2.5",10.2,53
2011-06-24,"Alameda","PM2.5",11,55
2011-06-25,"Alameda","PM2.5",9.3,51
2011-06-26,"Alameda","PM2.5",9.3,51
2011-06-27,"Alameda","PM2.5",4.8,27
2011-06-28,"Alameda","PM2.5",2,11
2011-06-29,"Alameda","PM2.5",3,17
2011-06-30,"Alameda","PM2.5",6,33
2011-07-01,"Alameda","PM2.5",9.4,52
2011-07-02,"Alameda","PM2.5",14,60
2011-07-03,"Alameda","PM2.5",15,62
2011-07-04,"Alameda","PM2.5",22.1,75
2011-07-05,"Alameda","PM2.5",21.1,73
2011-07-06,"Alameda","PM2.5",9.4,52
2011-07-07,"Alameda","PM2.5",7,39
2011-07-08,"Alameda","PM2.5",12.7,58
2011-07-09,"Alameda","PM2.5",12,56
2011-07-10,"Alameda","PM2.5",9.5,52
2011-07-11,"Alameda","PM2.5",2.9,16
