"Year","County","Mean_AQI"
2011,"Alameda",25.4171613599568
2011,"Contra Costa",21.6169185558354
2011,"Marin",24.4708423326134
2011,"Napa",21.7324966974901
2011,"San Francisco",25.2074666666667
2011,"San Mateo",25.0875
2011,"Santa Clara",27.8082911273682
2011,"Solano",29.8235668789809
2011,"Sonoma",22.3879310344828
2012,"Alameda",24.4319484240688
2012,"Contra Costa",23.4243048403708
2012,"Marin",23.4087747458534
2012,"Napa",21.8677900194426
2012,"San Francisco",24.1428571428571
2012,"San Mateo",24.6783974011911
2012,"Santa Clara",28.0285290848462
2012,"Solano",29.7784605433376
2012,"Sonoma",23.8319141058867
2013,"Alameda",26.577861163227
2013,"Contra Costa",24.3481494598902
2013,"Marin",25.6410256410256
2013,"Napa",26.8477564102564
2013,"San Francisco",24.7695652173913
2013,"San Mateo",26.0916114790287
2013,"Santa Clara",29.7877094972067
2013,"Solano",31.5363795110594
2013,"Sonoma",24.1904218928164
2014,"Alameda",26.3785661492979
2014,"Contra Costa",24.4350263291999
2014,"Marin",25.9807794981313
2014,"Napa",26.4200314630309
2014,"San Francisco",23.4140921409214
2014,"San Mateo",23.7292239955971
2014,"Santa Clara",31.0697785186949
2014,"Solano",31.1250727166958
2014,"Sonoma",21.2688203057398
2015,"Alameda",28.0515937331172
2015,"Contra Costa",24.7928205128205
2015,"Marin",24.063864628821
2015,"Napa",25.9152991000529
2015,"San Francisco",23.415626695605
2015,"San Mateo",22.4817880794702
2015,"Santa Clara",31.3113687207647
2015,"Solano",30.5885462555066
2015,"Sonoma",20.4639728736931
2016,"Alameda",26.2927322469371
2016,"Contra Costa",23.0539989811513
2016,"Marin",22.1469957081545
2016,"Napa",23.8484366719661
2016,"San Francisco",23.1116557734205
2016,"San Mateo",24.2754820936639
2016,"Santa Clara",29.1527436527437
2016,"Solano",29.1400233372229
2016,"Sonoma",18.9345203905801
2017,"Alameda",27.5051510591504
2017,"Contra Costa",25.6709010840108
2017,"Marin",25.1515957446809
2017,"Napa",28.1905286343612
2017,"San Francisco",24.8448182311449
2017,"San Mateo",25.2713651498335
2017,"Santa Clara",31.2879766618045
2017,"Solano",32.2919836161498
2017,"Sonoma",22.2342954159593
2018,"Alameda",27.9714649411266
2018,"Contra Costa",25.3595813204509
2018,"Marin",24.8176470588235
2018,"Napa",25.9994526546251
2018,"San Francisco",24.9864277958741
2018,"San Mateo",25.0115766262404
2018,"Santa Clara",31.326052210975
2018,"Solano",31.5111803000283
2018,"Sonoma",21.6432848588537
2019,"Alameda",24.867198838897
2019,"Contra Costa",24.1553060256207
2019,"Marin",22.5679079956188
2019,"Napa",22.3159311087191
2019,"San Francisco",23.8243610657966
2019,"San Mateo",23.992243767313
2019,"Santa Clara",29.6370068989917
2019,"Solano",30.3543373834416
2019,"Sonoma",18.2949371389738
2020,"Alameda",26.5386515697375
2020,"Contra Costa",25.4559356771244
2020,"Marin",22.759298618491
2020,"Napa",24.6643318965517
2020,"San Francisco",24.8408602150538
2020,"San Mateo",24.4854155200881
2020,"Santa Clara",31.4164606146238
2020,"Solano",32.6011299435028
2020,"Sonoma",19.2354211663067
2021,"Alameda",25.1351616062684
2021,"Contra Costa",24.2845334604991
2021,"Marin",21.975
2021,"Napa",24.3072625698324
2021,"San Francisco",22.6074918566775
2021,"San Mateo",22.27885146328
2021,"Santa Clara",30.0922561298289
2021,"Solano",30.0087791495199
2021,"Sonoma",17.5702571748043
2022,"Alameda",24.7846173534681
2022,"Contra Costa",23.2910790682935
2022,"Marin",21.5188729399256
2022,"San Francisco",21.2590983161325
2022,"San Mateo",22.6865671641791
2022,"Santa Clara",29.9133451957295
2022,"Solano",28.6778207964602
2022,"Sonoma",16.8231417063347
2023,"Alameda",23.8718619246862
2023,"Contra Costa",22.8433677521843
2023,"Marin",20.1457663451233
2023,"San Francisco",18.6698113207547
2023,"San Mateo",23.5363790186125
2023,"Santa Clara",27.6534875046624
2023,"Solano",27.4159495123351
2023,"Sonoma",15.4761734145468
